Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability_energy_ratio,danceability_valence_ratio
spotify:track:7h0d2h0fUmzbs7zeFigJPn,0.559,0.491,2,-6.406,0,0.0346,0.0567,0,0.0992,0.114,153.131,244874,4,0.274469,0.063726
spotify:track:62zKJrpbLxz6InR3tGyr7o,0.413,0.13,0,-25.166,0,0.0336,0.9,0.82,0.111,0.0676,123.342,46837,1,0.05369,0.0279188
spotify:track:6uJONCdr2rC65BNmCnTBWK,0.859,0.6,7,-4.63,0,0.301,0.071,0,0.353,0.568,123.017,244761,4,0.5154,0.487912
spotify:track:7LGWmZaoS7jZJ5tEi9EcDi,0.75,0.789,2,-4.578,1,0.108,0.253,0,0.129,0.673,147.957,157133,4,0.59175,0.50475
spotify:track:6gi6y1xwmVszDWkUqab1qw,0.802,0.591,8,-4.895,1,0.225,0.0104,0,0.196,0.309,139.864,157712,4,0.473982,0.247818
spotify:track:4AO1XhrgJczQ9bNVxdfKQe,0.643,0.594,9,-5.191,0,0.0312,0.0695,1.46E-05,0.115,0.195,118.037,250142,4,0.381942,0.125385
spotify:track:40mjsnRjCpycdUw3xhS20g,0.594,0.676,2,-5.808,1,0.344,0.135,0,0.163,0.472,143.477,181145,4,0.401544,0.280368
