Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:47IXLhp3c6mu7NqvpuhuLi,0.703,0.653,11,-6.226,0,0.079,0.237,0.0,0.199,0.414,140.044,180675,4
spotify:track:6Ms3n5sUl0Bzg3bMCtUEAw,0.593,0.612,5,-6.39,0,0.0325,0.0907,1.99e-06,0.0898,0.387,94.019,236462,4
spotify:track:0paIDUEcixm7WmcC72KgKZ,0.501,0.329,9,-10.978,0,0.0447,0.828,0.000361,0.171,0.4,75.013,204719,4
spotify:track:6SPgp2qK3fb4wPX1SldrNf,0.748,0.789,2,-4.579,1,0.105,0.26,0.0,0.13,0.67,147.957,157133,4
spotify:track:0cbO20ZF2lFflZGnNUHhGB,0.724,0.693,7,-5.379,0,0.0798,0.445,0.0,0.389,0.713,139.986,185143,4
spotify:track:38HkYfvnhHLLB5Yaj2VpZg,0.752,0.729,1,-5.436,1,0.174,0.29,1.27e-06,0.0783,0.366,134.038,175297,4
spotify:track:7AzlLxHn24DxjgQX73F9fU,0.652,0.631,6,-5.718,0,0.0893,0.524,0.000579,0.165,0.35,127.998,154424,4
spotify:track:0lihELMzAZylbtPuy7BnQz,0.772,0.316,0,-9.342,1,0.136,0.187,7.45e-05,0.11,0.0506,79.947,144762,4
spotify:track:6FIsKBZc3EHaTvWndQajIF,0.757,0.655,6,-7.118,0,0.15,0.0759,0.0,0.0743,0.897,153.912,201181,4
spotify:track:5D8UU0H1l9fuUfvXhNUMqp,0.758,0.487,4,-8.126,0,0.225,0.36,0.0,0.0964,0.111,100.097,187882,5
spotify:track:4DANFfDlHnsYAjWdfFg3ae,0.871,0.658,5,-5.74,0,0.13,0.141,0.0,0.125,0.616,120.008,231409,4
spotify:track:6QBPIWx7WcAuEzzudRU8pJ,0.823,0.502,2,-7.342,1,0.0636,0.0604,0.0,0.11,0.212,135.003,171534,4
spotify:track:2AacZZcUh99xDSh6UI85Yu,0.759,0.781,5,-5.948,0,0.0662,0.429,0.0,0.105,0.676,145.081,187014,4
spotify:track:2goWmTDcUZlGrTrSu2CrGg,0.801,0.645,6,-7.63,0,0.106,0.2,2.62e-05,0.0963,0.696,139.984,166672,4
spotify:track:1Scp8ar1dnJOaSVEMIiB80,0.87,0.57,5,-7.817,0,0.102,0.0797,0.000114,0.106,0.688,126.046,149562,4
spotify:track:3CAz01GipLndFoWGYTYFeF,0.87,0.567,8,-6.278,0,0.123,0.159,0.0,0.102,0.369,117.97,156628,4
spotify:track:5cDaVpePkkYc98ZL1rwxDa,0.715,0.749,4,-3.784,0,0.0329,0.207,0.0,0.201,0.219,138.022,168897,4
spotify:track:3Z7kWeMEAmN5FRs2LDWlCN,0.791,0.758,9,-5.249,0,0.177,0.399,0.0,0.129,0.498,139.966,167469,4
spotify:track:2YUoLKAoec6DQJK4q8NDvf,0.552,0.716,6,-5.89,0,0.152,0.0693,4.64e-06,0.339,0.328,104.465,181975,3
spotify:track:0TBI2aZeFxIIsmvKiptYey,0.921,0.517,5,-6.511,1,0.198,0.401,0.0,0.19,0.391,130.033,210778,4
