,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
805,spotify:track:6ICtjZyqSTXxAMIu9QN63h,0.472,0.876,5,-3.238,1,0.0348,0.00625,2.85e-06,0.244,0.253,128.12,210703,4,Electronic
815,spotify:track:34NNeV9jfgNgaALgUr0u9V,0.416,0.849,1,-4.909,0,0.0455,0.00864,0.000138,0.204,0.147,125.098,205440,4,Electronic
828,spotify:track:0OR5l7evFQ5Oz2Z8ZiDsMY,0.476,0.771,9,-5.846,0,0.0412,0.0294,0.0136,0.553,0.164,128.018,235327,4,Electronic
843,spotify:track:40AYRnDKhhrH4JZO4KS9Dj,0.485,0.736,4,-4.617,0,0.0515,0.0731,0.0,0.061,0.434,128.053,221273,4,Electronic
846,spotify:track:66hayvUbTotekKU3H4ta1f,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139.432,250286,4,Electronic
855,spotify:track:3XgtRplaKaBn8lxBCAhfwI,0.455,0.897,5,-6.345,0,0.0507,0.0073,0.259,0.429,0.0578,124.977,245280,4,Electronic
892,spotify:track:5QjfEMyFm4YTyYTbHvriGT,0.426,0.857,7,-5.95,0,0.0495,0.019,0.817,0.172,0.0821,124.967,158399,4,Electronic
942,spotify:track:4b2tcjrG1qUkSdsqEFP2dB,0.467,0.757,2,-3.01,1,0.0517,0.0866,0.0,0.0742,0.383,131.993,254653,4,Electronic
958,spotify:track:5jyUBKpmaH670zrXrE0wmO,0.485,0.724,9,-4.633,0,0.0521,0.0736,0.0,0.0631,0.433,128.045,221273,4,Electronic
965,spotify:track:1tfVpMI8G6EakZU4rEja4w,0.474,0.622,4,-6.381,0,0.061,0.0129,3.82e-06,0.327,0.158,176.062,187800,4,Electronic
987,spotify:track:3uIGef7OSXkFdqxjFWn2o6,0.451,0.948,0,-0.74,1,0.147,0.255,0.0,0.392,0.295,176.985,192447,4,Electronic
992,spotify:track:4Y2glvLjQGOb4dXnwm1hQf,0.42,0.969,1,-3.139,1,0.0581,2.84e-05,0.00861,0.379,0.182,174.038,252787,4,Electronic
998,spotify:track:7tSO7DrrYpiMXX3zM4b3oM,0.49,0.811,1,-2.524,0,0.044,0.0896,0.0,0.0898,0.547,125.965,200992,4,Electronic
1014,spotify:track:5Ee6NVOgu8vdOGDZEkYsNw,0.498,0.88,5,-4.558,1,0.0998,0.00805,0.832,0.619,0.179,126.028,397995,4,Electronic
