,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
221,spotify:track:6O7iXmIucRXi1ZmCS9jaat,0.152,0.0549,5,-23.525,1,0.047,0.936,0.844,0.109,0.0647,92.329,454760,4,Classical
222,spotify:track:5mgIUKH6IP5WiKL7QAJ8Qs,0.224,0.0511,3,-23.916,1,0.0437,0.943,0.334,0.128,0.102,102.902,437682,3,Classical
223,spotify:track:7LfMLcgllBbSXVMFhJsjYI,0.257,0.0555,2,-27.176,1,0.0519,0.961,0.385,0.347,0.178,69.623,245533,3,Classical
224,spotify:track:7pGs5QLEHfRwMPqXpb2q1O,0.214,0.0081,5,-30.716,1,0.0454,0.981,0.753,0.102,0.125,115.998,333000,1,Classical
225,spotify:track:4igFPfIfwnlggsitHsHBp8,0.183,0.0404,3,-28.209,1,0.0397,0.986,0.825,0.0827,0.169,69.974,364000,3,Classical
226,spotify:track:00vOdEvR4Tc70EkWherEny,0.125,0.0205,10,-24.87,1,0.044,0.993,0.888,0.111,0.093,84.244,282493,4,Classical
227,spotify:track:7ymm83FDIZE8zVXffT9qa2,0.345,0.123,8,-22.928,1,0.0355,0.983,0.925,0.227,0.151,139.616,592267,4,Classical
228,spotify:track:1BhQoiv9tA7u797b1UifiS,0.305,0.116,1,-18.155,0,0.0498,0.985,0.028,0.138,0.439,108.548,183893,3,Classical
229,spotify:track:34tSvebFYkq07xLMjuO8Y9,0.194,0.00808,2,-28.555,1,0.0352,0.993,0.786,0.0922,0.0468,78.922,286667,4,Classical
230,spotify:track:5u8ZJK0O0mFp6ae2zcFElR,0.397,0.00174,11,-33.565,0,0.0601,0.994,0.952,0.0871,0.33,133.598,174467,4,Classical
231,spotify:track:7E4xdWMzpLb0mjrI6ONvm4,0.156,0.105,7,-20.024,1,0.0383,0.975,0.915,0.171,0.183,65.971,201520,3,Classical
232,spotify:track:32p6iEDbcZHwTbVvmI4I24,0.248,0.0142,7,-26.17,1,0.0406,0.979,0.652,0.118,0.142,102.439,196093,3,Classical
233,spotify:track:4qsXg6KUyySci2VbhvNHAm,0.296,0.0209,4,-22.89,0,0.0379,0.886,0.0,0.19,0.153,68.113,198040,3,Classical
234,spotify:track:43lPvNKR0TTffhawRDZMpS,0.313,0.0421,1,-29.935,0,0.0454,0.995,0.904,0.139,0.631,149.154,108627,4,Classical
235,spotify:track:2kblNxpjvlybywqoes2Vhx,0.0785,0.071,0,-26.79,0,0.0418,0.845,0.838,0.636,0.0816,81.154,189333,3,Classical
236,spotify:track:1k82bzEjGy47GX0EbVPseH,0.147,0.165,3,-19.898,1,0.037,0.861,0.478,0.129,0.159,143.528,356867,3,Classical
237,spotify:track:6N8VxfhlKWqaelTEWQgLRO,0.247,0.0796,3,-26.355,1,0.0355,0.486,0.0,0.188,0.203,102.604,367160,3,Classical
238,spotify:track:2Dt58ytXNrRFtMz3rODSkX,0.251,0.128,5,-28.886,0,0.0448,0.993,0.905,0.0992,0.119,122.849,156160,4,Classical
239,spotify:track:2ct7CQ9I0BFwPBN6lzFh84,0.153,0.0172,1,-29.261,0,0.0416,0.995,0.885,0.0932,0.0616,63.413,121053,5,Classical
240,spotify:track:3ajF79pBnSFgboc3RlqAgF,0.173,0.0845,0,-22.804,0,0.043,0.962,0.916,0.11,0.146,82.746,283707,4,Classical
241,spotify:track:71WXIRbA1E9dAzyro4zaDW,0.177,0.055,9,-22.533,1,0.0472,0.942,0.00696,0.153,0.149,171.23,253600,4,Classical
242,spotify:track:7Dh3fkX25UvXoN57xrYzVq,0.156,0.034,2,-30.931,0,0.0388,0.937,0.914,0.0813,0.0399,138.468,230467,3,Classical
243,spotify:track:0hIr784kGfRf5EVFGP1dFi,0.15,0.151,4,-20.163,1,0.0429,0.78,0.00377,0.143,0.145,92.134,387333,3,Classical
244,spotify:track:0GgmOrNgAZRoKoGutTyal1,0.206,0.0678,9,-27.473,0,0.0625,0.995,0.902,0.112,0.0393,75.87,205267,4,Classical
245,spotify:track:6uiF6ENuMonuBIcTEUiDiM,0.171,0.0846,6,-21.188,1,0.0434,0.948,0.00483,0.0767,0.206,92.541,203200,5,Classical
246,spotify:track:56RnSF8QlR5ROKpLOu4z3w,0.247,0.11,1,-19.032,0,0.0499,0.981,0.354,0.188,0.149,132.652,287360,3,Classical
247,spotify:track:4TrQiCCgbAzZMGHWWDwDeh,0.472,0.0274,7,-25.915,0,0.0467,0.992,0.931,0.161,0.371,71.658,137000,3,Classical
248,spotify:track:2JZje7KjnzSUkoFNzwRHyL,0.386,0.0288,2,-26.494,0,0.054,0.995,0.878,0.197,0.682,135.355,302080,5,Classical
249,spotify:track:5Pl2CXDkaP6WEnJ0bpKGOm,0.384,0.0414,11,-23.019,0,0.0378,0.992,0.897,0.0684,0.0618,71.224,326520,4,Classical
250,spotify:track:1PR6CKtxM30lqIYD0YzLw1,0.166,0.0452,11,-25.335,0,0.0442,0.936,0.0,0.319,0.143,71.261,341333,4,Classical
251,spotify:track:6ZqqHKl3XdslENScCaUTbm,0.236,0.0198,0,-27.746,1,0.0577,0.958,0.957,0.11,0.0835,77.026,216093,4,Classical
252,spotify:track:251kv4zkWTOOVfIl0Xe5Ny,0.182,0.104,2,-16.337,1,0.0372,0.915,0.000393,0.208,0.172,80.768,134670,4,Classical
253,spotify:track:0VI8QAH1YupPK6xdCJuwpn,0.397,0.0185,7,-32.417,1,0.0483,0.995,0.917,0.0828,0.256,128.58,292987,3,Classical
254,spotify:track:3NJJJRLkjIjSqY7JDRtqQe,0.23,0.00539,1,-28.445,0,0.0447,0.977,0.919,0.112,0.071,112.568,126915,3,Classical
256,spotify:track:7qfuAHc88ZCpkVh5nCbcE5,0.538,0.0416,8,-25.889,1,0.0399,0.941,0.915,0.109,0.16,59.173,176467,4,Classical
257,spotify:track:1WElPRZWP8kDIQm2fY5dJu,0.204,0.0214,8,-24.423,1,0.0462,0.968,0.0317,0.107,0.225,94.003,89960,4,Classical
258,spotify:track:5NyZAGgWfau49QS8l8MVLA,0.35,0.104,10,-25.867,1,0.0343,0.994,0.904,0.125,0.634,97.929,107933,4,Classical
259,spotify:track:6uRnCYheyfH2Njdym1Np4L,0.238,0.0563,2,-22.123,0,0.0473,0.782,0.014,0.214,0.133,124.29,192867,3,Classical
260,spotify:track:51ehLWF2Ka4LcVZsEkIoks,0.111,0.0258,3,-27.943,1,0.0451,0.956,0.922,0.123,0.0664,83.251,309667,4,Classical
261,spotify:track:0QSUqQos3BcIJqQrrvR2Qj,0.429,0.065,4,-27.347,0,0.0525,0.967,0.924,0.103,0.671,149.386,341333,3,Classical
