,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
487,,0.49,0.83,4,-9.283,1,0.0512,0.0922,0.0,0.0719,0.966,162.105,195133.0,4,alternative,0.40669999999999995,0.47334
492,,0.417,0.598,4,-6.08,0,0.0476,0.035,4.8e-06,0.416,0.782,157.935,136960.0,4,alternative,0.24936599999999998,0.326094
497,,0.44,0.904,11,-4.409,0,0.177,0.275,7.45e-06,0.106,0.546,138.104,167840.0,4,alternative,0.39776,0.24024
505,,0.484,0.425,2,-10.851,1,0.288,0.338,2.02e-05,0.0429,0.603,197.674,203507.0,4,alternative,0.2057,0.291852
506,,0.434,0.614,6,-8.334,1,0.0525,0.486,0.000196,0.394,0.787,147.681,109667.0,4,alternative,0.266476,0.34155800000000003
512,,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800.0,4,alternative,0.35259,0.24703199999999997
519,,0.465,0.483,7,-13.882,0,0.0343,0.828,0.771,0.248,0.804,146.014,110493.0,4,alternative,0.22459500000000002,0.37386
530,,0.456,0.711,2,-9.205,1,0.0362,0.203,6.61e-06,0.13,0.412,124.021,173800.0,4,alternative,0.324216,0.18787199999999998
536,,0.435,0.912,5,-6.895,0,0.0965,0.555,0.537,0.773,0.321,138.564,175893.0,4,alternative,0.39672,0.139635
539,,0.453,0.788,9,-9.23,0,0.0341,0.00438,0.000121,0.131,0.55,78.504,139160.0,4,alternative,0.356964,0.24915000000000004
540,,0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,253333.0,4,alternative,0.322061,0.25073799999999996
541,,0.432,0.917,2,-7.067,1,0.12,0.111,3.48e-06,0.112,0.45,70.947,178067.0,4,alternative,0.396144,0.1944
542,,0.423,0.896,4,-9.555,1,0.0368,0.0914,0.668,0.35,0.732,99.156,160840.0,4,alternative,0.379008,0.30963599999999997
546,,0.484,0.655,4,-11.118,1,0.0316,0.033,0.0,0.0885,0.634,133.158,167453.0,4,alternative,0.31702,0.306856
554,,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,429760.0,4,alternative,0.299425,0.18172
556,,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532,229360.0,4,alternative,0.36891799999999997,0.340505
560,,0.428,0.843,9,-7.655,1,0.0747,0.058,0.0334,0.115,0.885,143.758,158800.0,4,alternative,0.36080399999999996,0.37878
562,,0.428,0.923,2,-4.454,0,0.123,0.0108,0.436,0.0985,0.681,151.005,146738.0,4,alternative,0.395044,0.291468
563,,0.405,0.592,11,-12.309,1,0.0698,0.262,0.021,0.166,0.659,82.736,208667.0,4,alternative,0.23976,0.26689500000000005
571,,0.476,0.731,0,-7.658,1,0.148,0.484,0.000392,0.129,0.613,126.8,142613.0,4,alternative,0.347956,0.291788
572,,0.491,0.696,9,-10.114,1,0.0301,0.707,0.0,0.211,0.893,144.765,165360.0,4,alternative,0.341736,0.438463
574,,0.415,0.72,7,-11.177,1,0.0492,0.481,0.0,0.185,0.619,176.785,234627.0,4,alternative,0.29879999999999995,0.256885
578,,0.492,0.553,9,-8.6,1,0.0397,0.406,0.000105,0.163,0.431,125.936,167200.0,4,alternative,0.27207600000000004,0.212052
580,,0.439,0.795,2,-9.424,1,0.0314,0.00407,0.00114,0.296,0.789,84.846,212067.0,4,alternative,0.349005,0.34637100000000004
581,,0.463,0.926,7,-3.204,1,0.122,0.0555,0.0,0.478,0.437,91.197,284987.0,4,alternative,0.42873800000000006,0.202331
591,,0.413,0.545,0,-7.681,1,0.0455,0.144,0.0,0.322,0.513,181.343,216189.0,4,alternative,0.225085,0.211869
594,,0.48,0.651,2,-5.195,1,0.0286,0.191,4.89e-06,0.0864,0.458,124.097,263571.0,4,alternative,0.31248,0.21984
598,,0.488,0.469,9,-8.366,1,0.0321,0.553,0.0243,0.147,0.104,116.863,303055.0,4,alternative,0.228872,0.050752
606,,0.491,0.535,0,-7.924,1,0.0258,0.636,0.477,0.186,0.148,144.098,292769.0,3,alternative,0.262685,0.072668
608,,0.444,0.271,11,-9.682,0,0.0265,0.898,0.0266,0.0873,0.122,78.0,178267.0,4,alternative,0.12032400000000001,0.054168
614,,0.488,0.835,2,-7.89,1,0.0358,0.000501,0.000773,0.359,0.228,92.007,265160.0,4,alternative,0.40747999999999995,0.111264
617,,0.441,0.278,0,-13.884,1,0.0401,0.772,0.0423,0.0522,0.0729,123.716,197835.0,4,alternative,0.12259800000000001,0.0321489
619,,0.424,0.37,7,-11.085,1,0.0286,0.327,0.000825,0.253,0.486,169.987,168325.0,4,alternative,0.15688,0.206064
627,,0.413,0.63,6,-7.732,1,0.0459,0.166,0.001,0.0839,0.198,132.157,222656.0,4,alternative,0.26019,0.081774
631,,0.458,0.557,9,-10.289,0,0.0253,0.0763,0.000471,0.0996,0.539,77.06,217648.0,4,alternative,0.25510600000000005,0.24686200000000003
644,,0.476,0.653,2,-8.576,1,0.158,0.0633,5.04e-05,0.432,0.227,98.998,135000.0,4,alternative,0.310828,0.108052
652,,0.497,0.486,6,-6.369,1,0.0425,0.656,6.94e-06,0.11,0.409,99.414,230440.0,4,alternative,0.24154199999999998,0.20327299999999998
654,,0.471,0.444,0,-7.323,1,0.028,0.395,5.59e-06,0.0852,0.214,76.122,96489.0,3,alternative,0.209124,0.100794
663,,0.419,0.902,1,-5.195,1,0.0528,0.0312,0.0466,0.3,0.453,157.007,221360.0,4,alternative,0.377938,0.189807
672,,0.466,0.317,6,-11.113,0,0.0492,0.935,0.0959,0.144,0.194,105.622,240125.0,4,alternative,0.14772200000000002,0.09040400000000001
681,,0.443,0.591,9,-8.449,0,0.0296,0.279,0.00329,0.387,0.575,90.655,221692.0,4,alternative,0.26181299999999996,0.254725
682,,0.431,0.665,0,-6.266,0,0.0423,0.189,0.00198,0.204,0.688,126.972,175684.0,4,alternative,0.286615,0.29652799999999996
689,,0.479,0.89,7,-5.014,0,0.176,0.0855,0.0,0.0929,0.325,142.995,199120.0,4,alternative,0.42630999999999997,0.155675
694,,0.421,0.645,0,-9.056,1,0.032,0.000164,0.326,0.369,0.106,144.838,162207.0,4,alternative,0.271545,0.044626
696,,0.439,0.919,1,-4.561,0,0.0649,0.00389,0.437,0.12,0.55,132.301,202777.0,4,alternative,0.403441,0.24145000000000003
697,,0.413,0.876,11,-4.577,1,0.057,0.000938,0.000104,0.387,0.341,164.08,214724.0,4,alternative,0.361788,0.140833
705,,0.407,0.714,2,-8.201,1,0.0478,0.00438,0.00235,0.0914,0.342,125.481,290360.0,4,alternative,0.29059799999999997,0.139194
709,,0.417,0.697,0,-5.508,1,0.0378,0.00186,0.00496,0.313,0.509,180.082,147172.0,4,alternative,0.290649,0.212253
714,,0.456,0.775,2,-7.125,1,0.037,0.000313,0.823,0.674,0.793,80.026,201000.0,4,alternative,0.35340000000000005,0.36160800000000004
716,,0.461,0.87,1,-3.458,0,0.042,0.00527,1.59e-05,0.343,0.79,155.913,176006.0,4,alternative,0.40107000000000004,0.36419
722,,0.462,0.927,6,-3.905,0,0.0452,3.44e-05,0.13,0.0804,0.149,140.011,265893.0,4,alternative,0.42827400000000004,0.068838
723,,0.458,0.703,3,-6.805,0,0.0513,0.0182,0.0106,0.256,0.39,167.904,166754.0,4,alternative,0.321974,0.17862
728,,0.49,0.731,1,-6.572,1,0.0569,0.0226,0.0,0.359,0.588,153.966,164882.0,4,alternative,0.35819,0.28812
731,,0.44,0.863,7,-4.522,1,0.0391,0.00143,0.00197,0.118,0.596,82.538,187636.0,4,alternative,0.37972,0.26224
738,,0.414,0.767,0,-4.948,0,0.0394,0.0024,1.85e-06,0.125,0.224,159.75,281023.0,4,alternative,0.317538,0.092736
741,,0.462,0.855,2,-3.76,1,0.0816,0.0192,0.0,0.261,0.236,137.765,227940.0,4,alternative,0.39501000000000003,0.109032
742,,0.486,0.931,4,-4.992,0,0.0745,0.014,1.77e-06,0.289,0.42,75.099,170426.0,4,alternative,0.45246600000000003,0.20412
748,,0.44,0.913,5,-4.523,1,0.0528,0.00212,0.0,0.207,0.584,158.098,245507.0,4,alternative,0.40172,0.25695999999999997
749,,0.483,0.947,6,-3.205,0,0.0376,0.00773,0.0133,0.131,0.872,169.971,213948.0,4,alternative,0.45740099999999995,0.421176
754,,0.449,0.909,0,-4.809,1,0.0816,6.84e-05,0.00059,0.872,0.515,164.971,216533.0,4,alternative,0.40814100000000003,0.23123500000000002
765,,0.464,0.875,2,-3.672,1,0.081,0.000153,0.0,0.144,0.32,147.126,197653.0,4,alternative,0.406,0.14848
768,,0.48,0.853,6,-5.425,1,0.0828,0.00515,1.94e-06,0.381,0.554,148.476,166474.0,4,alternative,0.40943999999999997,0.26592
773,,0.471,0.863,5,-4.919,1,0.0568,0.0191,2.05e-06,0.235,0.69,184.107,183693.0,4,alternative,0.406473,0.32498999999999995
776,,0.421,0.963,9,-2.976,1,0.0502,0.000121,0.0,0.121,0.679,125.239,179920.0,4,alternative,0.405423,0.28585900000000003
779,,0.435,0.714,2,-5.062,1,0.0451,0.142,0.0,0.0952,0.494,159.858,163786.0,4,alternative,0.31059,0.21489
787,,0.487,0.509,0,-9.051,1,0.0241,0.58,0.00878,0.115,0.2,94.017,206465.0,4,alternative,0.247883,0.0974
798,,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,122339.0,4,alternative,0.436554,0.329904
800,,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,161929.0,3,alternative,0.062307,0.098049
802,,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,351640.0,4,alternative,0.26825600000000005,0.0383396
806,,0.498,0.81,7,-4.065,1,0.0263,0.00392,0.00717,0.0635,0.594,79.935,189160.0,4,alternative,0.40338,0.29581199999999996
813,,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,266600.0,4,alternative,0.345949,0.190569
827,,0.412,0.477,9,-9.381,0,0.029,0.0542,0.798,0.0975,0.141,75.302,214680.0,4,alternative,0.19652399999999998,0.05809199999999999
828,,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,234800.0,4,alternative,0.37228,0.26105
831,,0.445,0.543,0,-8.196,1,0.0272,0.000825,0.0137,0.202,0.102,99.963,278640.0,4,alternative,0.24163500000000002,0.04539
835,,0.454,0.404,3,-10.26,1,0.027,0.146,0.819,0.141,0.313,94.113,319560.0,4,alternative,0.18341600000000002,0.142102
843,,0.497,0.638,1,-5.31,1,0.0274,0.0467,0.0,0.385,0.77,172.01,137142.0,4,alternative,0.317086,0.38269000000000003
845,,0.404,0.647,3,-10.452,1,0.0409,0.0434,0.198,0.1,0.351,180.128,456000.0,4,alternative,0.261388,0.141804
846,,0.434,0.677,10,-7.535,1,0.119,0.384,0.0684,0.119,0.218,167.923,204209.0,4,alternative,0.293818,0.094612
849,,0.448,0.511,6,-9.084,1,0.0274,0.362,0.823,0.129,0.112,96.321,291640.0,4,alternative,0.22892800000000002,0.050176000000000005
857,,0.421,0.247,10,-14.655,1,0.143,0.665,0.375,0.115,0.139,161.468,433916.0,4,alternative,0.103987,0.058519
859,,0.47,0.131,6,-13.29,1,0.0362,0.933,0.00245,0.109,0.115,118.836,315961.0,3,alternative,0.06157,0.05405
863,,0.433,0.724,5,-6.126,0,0.0372,0.1,0.0,0.0918,0.689,174.006,268105.0,4,alternative,0.313492,0.29833699999999996
864,,0.457,0.343,0,-9.387,1,0.0305,0.805,0.0182,0.12,0.0562,119.94,285051.0,4,alternative,0.15675100000000003,0.025683400000000002
872,,0.415,0.748,4,-5.008,1,0.0481,0.00305,0.0,0.0903,0.154,120.056,258419.0,4,alternative,0.31042,0.06391
873,,0.443,0.226,2,-12.507,0,0.0359,0.939,0.0201,0.14,0.196,79.142,300361.0,3,alternative,0.100118,0.086828
875,,0.465,0.696,10,-6.233,0,0.0363,0.00777,0.00196,0.142,0.0494,174.806,234858.0,4,alternative,0.32364,0.022971000000000002
900,,0.466,0.436,8,-11.303,1,0.0392,0.114,0.000376,0.0693,0.146,161.036,245125.0,4,alternative,0.20317600000000002,0.068036
903,,0.455,0.456,0,-8.182,1,0.17,0.326,0.0014,0.0958,0.187,100.01,268213.0,4,alternative,0.20748000000000003,0.08508500000000001
907,,0.491,0.87,0,-5.138,1,0.0393,0.000141,0.000729,0.368,0.314,131.989,232320.0,4,alternative,0.42717,0.154174
910,,0.431,0.284,2,-11.858,1,0.0432,0.871,0.000136,0.0899,0.229,98.317,204067.0,1,alternative,0.12240399999999999,0.09869900000000001
925,,0.487,0.759,11,-4.849,1,0.0405,0.0273,0.0,0.165,0.227,80.958,208360.0,4,alternative,0.369633,0.110549
926,,0.485,0.747,11,-7.188,1,0.0339,0.00416,0.0123,0.157,0.589,151.212,184549.0,4,alternative,0.362295,0.285665
927,,0.45,0.677,1,-6.428,1,0.0313,0.0319,3.02e-06,0.126,0.324,174.027,191294.0,4,alternative,0.30465000000000003,0.1458
960,,0.409,0.594,1,-9.725,1,0.031,0.032,0.0391,0.0904,0.212,110.187,209455.0,4,alternative,0.24294599999999997,0.086708
962,,0.469,0.771,5,-7.071,1,0.338,0.518,0.000197,0.0789,0.298,88.968,210385.0,4,alternative,0.361599,0.139762
982,,0.466,0.905,11,-4.486,1,0.0759,0.0182,0.000634,0.214,0.544,160.958,189360.0,4,alternative,0.42173000000000005,0.253504
983,,0.421,0.95,4,-4.603,1,0.0662,0.00145,1.1e-05,0.245,0.472,160.02,192120.0,4,alternative,0.39994999999999997,0.19871199999999997
1001,,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280.0,4,alternative,0.353804,0.24684
1006,,0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,225973.0,4,alternative,0.29280999999999996,0.14006
1013,,0.48,0.87,1,-4.792,1,0.0362,0.00438,0.00603,0.0826,0.584,161.953,297933.0,4,alternative,0.41759999999999997,0.28031999999999996
1016,,0.436,0.85,2,-4.86,1,0.0617,0.000861,0.74,0.128,0.537,152.644,183093.0,4,alternative,0.3706,0.234132
1017,,0.454,0.873,2,-5.072,1,0.122,0.000244,1.73e-05,0.0847,0.562,159.814,167773.0,4,alternative,0.396342,0.25514800000000004
1018,,0.421,0.79,10,-6.227,1,0.0538,0.00205,0.000309,0.148,0.279,162.024,188867.0,4,alternative,0.33259,0.11745900000000001
1019,,0.489,0.892,11,-4.757,0,0.0786,0.000369,0.00293,0.411,0.598,137.93,160886.0,4,alternative,0.436188,0.29242199999999996
1023,,0.489,0.769,5,-3.524,1,0.038,0.00135,0.56,0.0727,0.637,128.985,215827.0,4,alternative,0.376041,0.311493
1027,,0.492,0.807,10,-3.677,0,0.0854,0.205,0.00275,0.384,0.477,107.087,229805.0,4,alternative,0.397044,0.23468399999999998
1038,,0.404,0.268,1,-9.631,1,0.0341,0.583,0.0,0.102,0.124,134.587,268433.0,3,alternative,0.10827200000000001,0.050096
1063,,0.471,0.773,9,-6.862,1,0.0478,0.142,0.289,0.224,0.527,166.945,203876.0,4,alternative,0.364083,0.248217
1077,,0.48,0.938,9,-2.729,1,0.0504,0.00932,0.0,0.299,0.692,78.537,176006.0,4,alternative,0.45024,0.33215999999999996
