,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
649,,0.49,0.724,2,-9.581,1,0.0366,0.00976,0.0046,0.159,0.292,125.812,337506.0,4,rock,0.35475999999999996,0.14307999999999998
652,,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547.0,4,rock,0.363853,0.150332
653,,0.402,0.691,7,-10.274,1,0.0691,0.0679,0.133,0.0955,0.206,96.95,290934.0,4,rock,0.277782,0.082812
667,,0.472,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163,382297.0,4,rock,0.172752,0.080712
670,,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,300400.0,4,rock,0.35403599999999996,0.07335
673,,0.468,0.536,11,-10.422,0,0.144,0.024,0.00199,0.269,0.785,126.256,382834.0,1,rock,0.250848,0.36738000000000004
674,,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,333893.0,4,rock,0.371624,0.173864
675,,0.497,0.693,8,-7.024,1,0.0565,0.19,0.0,0.215,0.358,111.539,296493.0,3,rock,0.344421,0.177926
677,,0.464,0.655,7,-9.058,0,0.0608,0.0272,1.34e-06,0.328,0.531,169.515,273600.0,4,rock,0.30392,0.24638400000000002
678,,0.454,0.946,1,-5.978,0,0.13,0.0223,0.0,0.173,0.647,138.18,156147.0,4,rock,0.429484,0.293738
681,,0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605,153467.0,4,rock,0.2052,0.3078
685,,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,293183.0,4,rock,0.41450200000000004,0.23653400000000002
688,,0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,168406.0,4,rock,0.271096,0.187048
689,,0.472,0.9,8,-6.406,0,0.0582,0.148,0.000297,0.34,0.42,95.826,214960.0,4,rock,0.4248,0.19823999999999997
694,,0.456,0.59,11,-8.638,1,0.0327,0.00182,0.00379,0.104,0.243,124.635,283733.0,4,rock,0.26904,0.110808
703,,0.489,0.758,7,-6.491,1,0.0297,0.000678,0.49,0.092,0.435,112.113,371413.0,4,rock,0.370662,0.212715
706,,0.419,0.677,4,-6.183,1,0.0343,0.00101,9.99e-05,0.211,0.684,127.678,303587.0,4,rock,0.283663,0.286596
707,,0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,258467.0,4,rock,0.29088,0.19190000000000002
708,,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,429760.0,4,rock,0.299425,0.18172
709,,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,423840.0,4,rock,0.364408,0.20078800000000002
711,,0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726,145747.0,4,rock,0.35035,0.42434
713,,0.465,0.919,4,-4.025,1,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,235293.0,4,rock,0.427335,0.24970500000000004
714,,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,266720.0,4,rock,0.31417,0.34176
719,,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,356067.0,4,rock,0.42459199999999997,0.278304
722,,0.465,0.977,7,-3.839,0,0.175,0.00111,0.00298,0.201,0.233,89.535,284027.0,4,rock,0.454305,0.10834500000000001
738,,0.451,0.962,0,-3.947,1,0.0734,0.0188,3.17e-06,0.277,0.377,131.435,323707.0,4,rock,0.43386199999999997,0.170027
739,,0.482,0.617,4,-12.931,0,0.0458,0.00543,0.000146,0.284,0.718,125.697,252493.0,4,rock,0.297394,0.346076
740,,0.475,0.899,9,-4.321,0,0.0637,0.00375,1.91e-05,0.14,0.603,152.445,230667.0,4,rock,0.427025,0.286425
748,,0.491,0.802,4,-7.106,1,0.0392,0.25,0.0,0.387,0.472,119.25,248907.0,4,rock,0.393782,0.23175199999999999
758,,0.438,0.687,7,-9.15,1,0.0619,0.000668,0.0801,0.42,0.426,103.01,446146.0,3,rock,0.300906,0.186588
779,,0.402,0.597,2,-9.258,1,0.0327,0.0385,2.09e-06,0.109,0.496,81.806,287000.0,4,rock,0.239994,0.199392
781,,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,313573.0,4,rock,0.388178,0.308026
783,,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,197200.0,4,rock,0.48208999999999996,0.342433
787,,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,229467.0,4,rock,0.378628,0.23566399999999996
789,,0.402,0.914,9,-5.215,1,0.142,0.000579,0.0,0.065,0.626,196.505,178267.0,4,rock,0.36742800000000003,0.25165200000000004
790,,0.452,0.928,2,-3.133,1,0.079,0.000706,0.000637,0.226,0.6,129.188,153600.0,4,rock,0.41945600000000005,0.2712
791,,0.442,0.846,4,-5.214,1,0.0764,0.0538,4.71e-06,0.282,0.622,128.235,217653.0,4,rock,0.373932,0.274924
798,,0.407,0.955,2,-4.164,1,0.164,0.0251,0.0,0.347,0.508,177.48,201107.0,4,rock,0.38868499999999995,0.206756
804,,0.439,0.617,1,-12.106,1,0.0335,0.0768,0.000178,0.0869,0.433,113.378,230960.0,4,rock,0.270863,0.190087
808,,0.447,0.337,5,-11.402,1,0.0325,0.0365,0.00124,0.0945,0.0827,114.422,266493.0,4,rock,0.15063900000000002,0.0369669
809,,0.481,0.687,1,-7.756,0,0.0294,0.373,0.000319,0.922,0.366,115.129,227467.0,4,rock,0.330447,0.17604599999999998
817,,0.41,0.875,2,-7.489,0,0.0591,0.000174,0.658,0.172,0.412,88.475,224147.0,4,rock,0.35874999999999996,0.16892
819,,0.422,0.781,7,-6.315,1,0.0357,0.0781,0.0,0.175,0.496,167.984,229540.0,4,rock,0.329582,0.209312
828,,0.463,0.867,11,-3.968,0,0.0561,0.227,0.0,0.204,0.742,180.303,205711.0,4,rock,0.40142100000000003,0.343546
834,,0.422,0.94,9,-3.597,1,0.111,7.53e-05,0.0,0.106,0.822,174.946,185000.0,4,rock,0.39668,0.34688399999999997
835,,0.492,0.801,7,-6.336,0,0.0333,0.00139,0.00055,0.329,0.345,130.036,183048.0,4,rock,0.394092,0.16973999999999997
836,,0.481,0.88,4,-4.55,1,0.0717,0.00465,6.02e-05,0.204,0.289,95.023,223173.0,3,rock,0.42328,0.139009
837,,0.483,0.593,9,-9.358,1,0.0273,0.00938,7.73e-05,0.142,0.391,76.013,193316.0,4,rock,0.286419,0.188853
838,,0.467,0.475,0,-11.201,1,0.0413,0.618,0.168,0.105,0.211,95.05,189366.0,4,rock,0.221825,0.098537
840,,0.443,0.896,9,-6.163,1,0.0457,1.35e-05,0.000101,0.369,0.733,134.145,162493.0,4,rock,0.396928,0.324719
841,,0.417,0.849,1,-4.199,0,0.0481,0.0146,0.000387,0.0673,0.594,94.267,171693.0,4,rock,0.354033,0.24769799999999997
848,,0.433,0.854,9,-3.868,1,0.0483,0.000336,0.000177,0.162,0.368,89.4,277840.0,4,rock,0.369782,0.15934399999999999
866,,0.463,0.749,11,-8.118,0,0.0894,0.00795,0.00221,0.0558,0.888,183.054,179653.0,4,rock,0.346787,0.411144
