,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
587,spotify:track:3ZsexY07D4t4HRq7ogeSAS,0.465,0.896,2,-3.126,1,0.0795,0.00725,0.0,0.206,0.569,181.014,182827,4,Pop
588,spotify:track:0gZp88SA5OcujHLDGkxtI3,0.477,0.907,1,-4.814,0,0.0899,8e-05,7.82e-05,0.149,0.304,81.291,257400,4,Pop
590,spotify:track:23oxJmDc1V9uLUSmN2LIvx,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,198267,4,Pop
594,spotify:track:26AYR77170U49cMcXB7aRV,0.411,0.962,4,-5.952,1,0.0917,0.103,0.0,0.529,0.622,173.143,172646,4,Pop
601,spotify:track:6HiBjDRQapX1hsMRT7smAJ,0.429,0.848,6,-5.269,0,0.104,0.0223,0.0,0.348,0.463,172.19,163409,4,Pop
612,spotify:track:2ydUT1pFhuLDnouelIv4WH,0.41,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.155,171600,4,Pop
613,spotify:track:3X5brTFnXMHE6QhqrBPwHa,0.467,0.958,8,-5.581,1,0.223,7.19e-05,0.18,0.347,0.164,144.915,277818,4,Pop
615,spotify:track:4KacUpvbA3Mfo05gttTjhN,0.402,0.914,9,-5.215,1,0.142,0.000579,0.0,0.065,0.626,196.505,178267,4,Pop
617,spotify:track:2TfSHkHiFO4gRztVIkggkE,0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011,229093,4,Pop
625,spotify:track:1MtVWM2E2i6HnMlnNb7p7n,0.48,0.869,6,-3.601,1,0.0374,0.0363,0.00111,0.0913,0.583,89.998,194608,4,Pop
626,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,167067,4,Pop
630,spotify:track:0ChpoNjXfJPjMvCIN6so6J,0.449,0.864,1,-3.892,1,0.0352,2.04e-05,0.0,0.108,0.713,167.154,226080,4,Pop
632,spotify:track:0aZJGkkXR3DgaFqo5sB8ot,0.497,0.923,2,-4.512,1,0.138,0.00282,0.0,0.158,0.663,181.074,198000,4,Pop
634,spotify:track:0d8aJLKZI1r4uOSLZBJaBK,0.439,0.945,1,-2.21,1,0.138,0.00677,0.0,0.166,0.455,161.954,195680,4,Pop
636,spotify:track:33iv3wnGMrrDugd7GBso1z,0.494,0.946,4,-2.757,1,0.0637,0.00129,0.0,0.398,0.741,103.408,169027,4,Pop
639,spotify:track:6WkSUgo1VdpzgtiXKlFPcY,0.426,0.972,0,-5.122,1,0.0954,0.0017,0.0,0.171,0.341,111.221,165373,4,Pop
640,spotify:track:1VpTwecl7EbQiGyVsvwFQE,0.416,0.967,9,-2.289,0,0.109,0.000367,0.0,0.0632,0.431,171.032,192787,4,Pop
642,spotify:track:1rUHLQEmtefobuukC1SVDf,0.477,0.917,6,-4.692,1,0.0547,0.00295,0.0,0.268,0.71,150.974,141293,4,Pop
644,spotify:track:429IbFR4yp2J81CeTwF5iY,0.487,0.898,5,-4.436,1,0.038,0.00305,0.0,0.26,0.597,135.331,220027,4,Pop
646,spotify:track:3mNecsYFb6LQg7822DPXCP,0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,189333,4,Pop
654,spotify:track:4COleG16xBCkpofKHsJU2p,0.416,0.748,11,-4.83,1,0.0487,7.43e-05,0.0,0.0995,0.792,150.094,230560,4,Pop
655,spotify:track:6GTvQrF4IhGcQ3Sri01IDX,0.473,0.777,11,-5.225,1,0.0279,0.00131,3.67e-05,0.152,0.564,81.999,267996,4,Pop
656,spotify:track:2d6m2F4I7wCuAKtSsdhh83,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,299227,4,Pop
691,spotify:track:2ZBNclC5wm4GtiWaeh0DMx,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,193213,4,Pop
694,spotify:track:4SRqDmPxYX0pUb5B5ut2Ri,0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791,207187,4,Pop
706,spotify:track:0uIGzK6ukV0A5yWoCxPkRL,0.467,0.586,7,-3.942,1,0.0357,0.218,0.0,0.12,0.318,169.93,251613,4,Pop
714,spotify:track:5AyL2kgLtTWEu3qO3B9SqK,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,216893,4,Pop
737,spotify:track:7nXq1vaZiz7PdbfojpPjW5,0.435,0.92,4,-1.357,0,0.201,0.235,0.000353,0.552,0.45,188.899,245960,4,Pop
797,spotify:track:1L5tZi0izXsi5Kk5OJf4W0,0.434,0.872,0,-2.974,1,0.0702,0.0473,1.83e-06,0.396,0.732,71.515,213760,4,Pop
801,spotify:track:3PRGcLvFKBGcG5LMer7rn7,0.492,0.888,7,-4.631,0,0.0343,0.426,2.56e-06,0.316,0.793,162.137,180930,4,Pop
814,spotify:track:5ZMHrSgqn8FzhulpGdd0vg,0.479,0.37,7,-9.859,1,0.0408,0.387,0.0,0.382,0.278,149.915,172712,4,Pop
827,spotify:track:1zWROWxRqGDLgUTjcqVXqG,0.486,0.521,3,-8.319,1,0.126,0.39,0.000685,0.179,0.583,177.941,165481,4,Pop
847,spotify:track:0IxDeojmqvc4mNXSFN0urj,0.484,0.388,8,-7.229,1,0.0296,0.655,0.0,0.118,0.305,163.771,216953,3,Pop
855,spotify:track:6uIGK6p2c9GQk2AbmKEPFB,0.409,0.594,1,-9.349,1,0.36,0.616,0.0,0.11,0.202,179.952,175167,4,Pop
856,spotify:track:33HaOM5zaYpwGMatWHwzpV,0.486,0.763,7,-3.088,0,0.0646,0.0299,2.32e-06,0.0965,0.337,159.822,205500,3,Pop
857,spotify:track:2CXJAqksi41e934nrqqXak,0.471,0.409,2,-12.05,1,0.0438,0.828,0.832,0.339,0.151,79.965,198000,4,Pop
862,spotify:track:2FfmRe2nnFCNncEucJobL0,0.481,0.538,5,-7.788,1,0.0468,0.288,0.0181,0.0964,0.218,133.124,211133,4,Pop
875,spotify:track:7rTNTUxQW3Ekv5HX90BFSO,0.478,0.776,0,-6.78,1,0.0661,0.309,0.068,0.53,0.539,174.007,208276,4,Pop
895,spotify:track:4tFdFGySFruNkHlTwoIlLf,0.488,0.519,10,-8.157,1,0.0357,0.159,2.57e-05,0.116,0.325,144.961,158897,4,Pop
905,spotify:track:3t5o6aDBXWyNZiyFQylraq,0.441,0.508,11,-5.662,1,0.0347,0.879,0.000168,0.145,0.19,75.194,157068,4,Pop
908,spotify:track:7IP075Nyr92maaJNS52hUM,0.473,0.591,3,-6.902,1,0.041,0.692,5e-05,0.0914,0.255,75.773,198107,4,Pop
910,spotify:track:7H6TvLL3dyoY2XtrUKp3wK,0.456,0.85,0,-7.897,1,0.0853,0.00271,3.75e-05,0.231,0.132,132.866,190903,4,Pop
915,spotify:track:1nLZY9rmmi5l9TgYjv0mQm,0.459,0.755,5,-5.498,1,0.104,0.216,0.000293,0.121,0.462,164.914,189956,4,Pop
921,spotify:track:2Y67qsABsPKMrvCxPCzL6r,0.494,0.348,9,-9.791,0,0.03,0.652,1.07e-05,0.0859,0.134,104.923,184963,3,Pop
922,spotify:track:0txtTG1HcOJ2U828BiK4L1,0.498,0.601,9,-9.379,0,0.229,0.534,0.0,0.122,0.73,89.779,249839,4,Pop
952,spotify:track:5kUqU9uLc98ndpJiqieN8K,0.496,0.345,9,-7.893,1,0.15,0.728,0.0,0.0687,0.151,180.719,161470,4,Pop
955,spotify:track:5rKMN0bKdqcGWo1iLvv30Y,0.467,0.573,5,-5.009,0,0.23,0.203,1.09e-06,0.102,0.56,88.675,141061,3,Pop
971,spotify:track:7AxKYTuOktAVkEFGS9Szjd,0.405,0.102,11,-12.794,1,0.0438,0.644,1.84e-06,0.145,0.202,134.303,238665,3,Pop
1017,spotify:track:6gnbz54mNEfB82Tl9pv5Z1,0.441,0.703,0,-4.432,1,0.0404,0.147,0.0,0.297,0.711,83.172,216667,4,Pop
