,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
233,spotify:track:5xVcnhVL0AwcOgbpuxTu6W,0.42,0.0876,3,-28.052,1,0.0425,0.995,0.9,0.102,0.278,82.496,266213,4,Classical
241,spotify:track:4XJXYvjW0CB2MLMk8l7Vdi,0.456,0.456,11,-16.055,0,0.0535,0.973,0.353,0.186,0.974,144.489,210680,3,Classical
252,spotify:track:0EnEULk14Oso59QtQHVUoC,0.447,0.327,4,-16.489,1,0.0432,0.864,0.0224,0.085,0.565,100.439,445624,4,Classical
255,spotify:track:3FtVBG9AY9KEIXcMhCUrAG,0.404,0.182,0,-18.564,0,0.047,0.871,0.789,0.3,0.206,98.539,418000,4,Classical
256,spotify:track:1gK2cDl2dY7DFUEXvoMms6,0.491,0.0759,10,-25.558,1,0.0485,0.988,0.943,0.128,0.549,98.595,52929,5,Classical
257,spotify:track:4nd6FMCfNFWkbi2dnsf5I3,0.425,0.00472,7,-37.89,1,0.0479,0.996,0.953,0.0985,0.484,81.93,190560,3,Classical
264,spotify:track:63ow4jM1Yg5qpILxh9vtkO,0.498,0.00875,5,-34.43,1,0.0396,0.994,0.957,0.0836,0.289,78.711,161373,3,Classical
274,spotify:track:1YluEbLfaWBfV2GpQQLOcZ,0.447,0.0159,2,-25.612,0,0.063,0.995,0.933,0.195,0.107,131.542,236467,4,Classical
275,spotify:track:0d71p8tQDxLgdTkEHcxQyl,0.411,0.0155,5,-28.791,0,0.0406,0.995,0.88,0.0813,0.0379,97.841,198493,3,Classical
276,spotify:track:2Fqi28vvtFUjKSCrKGUg4i,0.414,0.0454,1,-28.278,1,0.0421,0.992,0.891,0.104,0.0388,69.508,339893,4,Classical
286,spotify:track:0Gqd8s8FPiCn8k6BLp3kVa,0.472,0.0284,9,-24.192,0,0.0568,0.991,0.837,0.0427,0.11,131.654,340414,4,Classical
292,spotify:track:08QaHlMPWuO5PUxjl61bXn,0.465,0.687,10,-10.964,1,0.0495,0.0206,0.929,0.121,0.13,70.507,90427,4,Classical
298,spotify:track:644es5aYPJghtZLjM1rmSP,0.488,0.0629,2,-21.524,1,0.0342,0.843,0.406,0.133,0.175,104.311,175040,4,Classical
303,spotify:track:1ijrMIqQvZNsnoqGukPzFD,0.402,0.046,5,-22.779,1,0.033,0.979,0.513,0.0771,0.0967,104.425,159667,4,Classical
306,spotify:track:5duZVZ4m1TaJDTCbeHG8TG,0.422,0.351,0,-13.002,1,0.0352,0.73,0.904,0.0784,0.168,132.317,305640,4,Classical
