Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:3m6Au7kPJlgZrGs2Db4FnC,0.123,0.0887,0,-21.442,0,0.0371,0.688,0.0,0.0943,0.103,171.048,324309,3
spotify:track:6oQXP1aapRpqCY7HZvyUqr,0.152,0.144,0,-21.021,1,0.0383,0.986,6.59e-05,0.116,0.0362,76.052,407143,3
spotify:track:0myLvGalLFLKrmO0skBFnZ,0.432,0.239,6,-16.559,1,0.0355,0.806,0.782,0.103,0.391,117.087,203039,4
spotify:track:4PrEYe6pD2plm8HM42ziPH,0.194,0.151,11,-17.041,1,0.0371,0.984,0.698,0.104,0.0396,69.672,294426,4
spotify:track:0jI2z8MCDD5Zy43MerDNKX,0.192,0.157,3,-16.243,0,0.0423,0.992,2.01e-05,0.104,0.121,89.979,373800,4
spotify:track:5zLrkzpOcEVFqjUJwCa1Hr,0.481,0.131,2,-16.528,1,0.0397,0.994,0.601,0.129,0.866,91.25,138547,4
spotify:track:7a01eEcNKLP6COwdpxIsbT,0.474,0.0931,2,-21.771,0,0.0369,0.981,0.736,0.0636,0.227,136.144,215683,4
spotify:track:2O0JJ8W9SYTsi7kQdo13bm,0.106,0.0763,4,-25.408,0,0.0391,0.937,0.851,0.0862,0.0351,86.975,388173,4
spotify:track:0FvyqP8TztYbSmZIwKSZ1s,0.362,0.203,2,-17.059,0,0.0376,0.928,0.901,0.106,0.203,137.295,224282,1
spotify:track:4oU97yQiWT7JmdYhBpo29d,0.473,0.249,2,-25.336,1,0.108,0.972,0.891,0.648,0.424,96.736,298351,3
spotify:track:6yOV0YYi0duQcwui5lpafm,0.17,0.0283,10,-26.788,1,0.0568,0.967,0.0296,0.122,0.0679,70.291,242497,1
spotify:track:6WAiNF3NEs5CYgx5XIheEL,0.236,0.183,4,-20.34,0,0.0441,0.981,0.000313,0.0862,0.107,127.628,266909,4
spotify:track:4tABQ6ivTFQ2cUmuZfnx01,0.252,0.456,4,-16.087,0,0.0363,0.853,0.823,0.162,0.888,152.46,128653,4
spotify:track:6Bvl1gta7uZD0FHwmeHvsR,0.239,0.0503,0,-23.505,1,0.0504,0.964,0.324,0.0963,0.0378,82.526,333893,3
spotify:track:0nVLyTKe0311D7dIYzo8M2,0.267,0.2,9,-21.924,1,0.0524,0.973,2.91e-05,0.0601,0.0562,126.245,211387,3
spotify:track:6ARJ0CTlLo3MNaRvq7AXvv,0.188,0.0167,11,-31.894,1,0.043,0.923,0.131,0.114,0.0323,82.857,427320,4
spotify:track:1dtY4yC7YTHzkeXaRiUx0x,0.567,0.176,7,-27.324,0,0.0535,0.992,0.918,0.133,0.97,108.705,36160,4
spotify:track:6OtzGdRWIdRd33RshP4oRx,0.148,0.0363,7,-28.572,1,0.0361,0.94,0.000562,0.382,0.0398,77.084,541342,4
spotify:track:2cJWzNkxcxQ2fcjOMG2ban,0.142,0.0119,9,-32.089,1,0.045,0.957,0.894,0.0902,0.0463,77.48,139113,5
spotify:track:1BfPgruLlL7uuU2xvZoFP5,0.62,0.187,2,-17.654,1,0.0526,0.872,0.0118,0.089,0.529,122.978,264771,4
spotify:track:5pJzLD2lFGvolBFuuIw1KT,0.5,0.438,2,-17.072,1,0.0276,0.894,0.879,0.145,0.776,94.578,154293,3
spotify:track:0srlso77esrw2HXztm14E9,0.143,0.0923,4,-30.906,0,0.0499,0.958,0.926,0.0954,0.153,65.826,209032,3
