,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
298,,0.488,0.0629,2,-21.524,1,0.0342,0.843,0.406,0.133,0.175,104.311,175040.0,4,classical,0.0306952,0.08539999999999999
303,,0.402,0.046,5,-22.779,1,0.033,0.979,0.513,0.0771,0.0967,104.425,159667.0,4,classical,0.018492,0.0388734
306,,0.422,0.351,0,-13.002,1,0.0352,0.73,0.904,0.0784,0.168,132.317,305640.0,4,classical,0.14812199999999998,0.070896
307,,0.471,0.411,2,-15.755,1,0.041,0.733,0.853,0.28,0.282,79.986,254347.0,4,classical,0.19358099999999998,0.13282199999999997
323,,0.493,0.175,10,-18.049,0,0.036,0.949,0.777,0.112,0.278,106.903,286467.0,4,classical,0.08627499999999999,0.137054
342,,0.486,0.312,1,-16.772,1,0.0317,0.206,0.734,0.0854,0.11,135.988,213893.0,4,classical,0.151632,0.05346
346,,0.448,0.22,3,-15.014,1,0.035,0.775,0.837,0.0813,0.0947,137.915,337467.0,3,classical,0.09856000000000001,0.0424256
351,,0.476,0.192,9,-15.753,1,0.064,0.976,0.928,0.119,0.114,116.542,98040.0,3,classical,0.091392,0.054264
355,,0.463,0.273,9,-18.639,1,0.0358,0.361,0.943,0.165,0.521,109.23,109933.0,5,classical,0.126399,0.24122300000000002
369,,0.407,0.433,2,-15.331,0,0.0376,0.467,0.936,0.0663,0.0779,119.921,155827.0,4,classical,0.176231,0.0317053
377,,0.458,0.00493,11,-32.958,1,0.0498,0.995,0.965,0.0674,0.0717,136.549,146880.0,1,classical,0.0022579400000000004,0.0328386
387,,0.454,0.0139,4,-29.966,0,0.0514,0.995,0.943,0.0736,0.244,130.253,184853.0,4,classical,0.0063105999999999995,0.110776
389,,0.449,0.00766,9,-37.783,0,0.103,0.991,0.873,0.0732,0.575,64.059,175427.0,3,classical,0.00343934,0.258175
390,,0.448,0.00397,9,-27.003,0,0.0788,0.995,0.912,0.0612,0.0377,51.112,111307.0,4,classical,0.0017785599999999998,0.016889599999999998
397,,0.427,0.00255,10,-36.604,1,0.0638,0.995,0.932,0.0706,0.393,110.032,189800.0,4,classical,0.0010888500000000001,0.16781100000000002
404,,0.407,0.0991,5,-23.591,1,0.0423,0.99,0.894,0.0867,0.0313,125.016,471827.0,4,classical,0.04033369999999999,0.0127391
425,,0.421,0.089,3,-24.23,1,0.0406,0.975,0.893,0.139,0.107,122.203,228851.0,3,classical,0.037468999999999995,0.045047
430,,0.431,0.508,7,-20.299,1,0.0996,0.922,0.889,0.42,0.767,168.853,360074.0,4,classical,0.218948,0.330577
433,,0.47,0.00188,1,-32.773,1,0.0494,0.992,0.867,0.115,0.0863,67.573,207047.0,3,classical,0.0008835999999999999,0.040561
441,,0.442,0.12,7,-23.755,1,0.0426,0.993,0.862,0.11,0.322,123.836,361813.0,4,classical,0.05304,0.142324
448,,0.439,0.0251,4,-29.029,1,0.0381,0.994,0.921,0.129,0.215,68.171,158374.0,4,classical,0.0110189,0.094385
452,,0.435,0.00354,11,-39.482,1,0.0485,0.986,0.909,0.096,0.179,68.542,195000.0,4,classical,0.0015399,0.07786499999999999
469,,0.412,0.0905,5,-21.625,1,0.0514,0.995,0.904,0.0823,0.0378,113.244,157090.0,3,classical,0.037286,0.0155736
482,,0.411,0.393,2,-13.372,1,0.0358,0.949,0.916,0.0984,0.376,90.561,162240.0,4,classical,0.161523,0.15453599999999998
509,,0.412,0.424,0,-14.637,0,0.0378,0.847,0.961,0.271,0.386,155.932,173360.0,3,classical,0.17468799999999998,0.159032
514,,0.421,0.233,0,-17.705,0,0.0338,0.978,0.927,0.107,0.21,107.651,286307.0,4,classical,0.098093,0.08840999999999999
520,,0.426,0.0153,1,-32.834,1,0.0372,0.993,0.957,0.108,0.265,104.717,332747.0,4,classical,0.0065178,0.11289
524,,0.415,0.026,1,-36.7,1,0.0496,0.995,0.938,0.107,0.268,136.191,285443.0,4,classical,0.01079,0.11122
525,,0.495,0.0696,7,-31.384,0,0.0296,0.96,0.898,0.119,0.276,95.193,179800.0,3,classical,0.034451999999999997,0.13662000000000002
529,,0.441,0.00957,7,-26.839,1,0.0308,0.987,0.884,0.0954,0.373,75.403,225495.0,4,classical,0.00422037,0.164493
532,,0.459,0.0073,7,-29.42,1,0.0366,0.992,0.96,0.149,0.109,60.19,312373.0,3,classical,0.0033507000000000003,0.050031
533,,0.412,0.00313,2,-33.479,0,0.0579,0.99,0.96,0.0883,0.12,102.398,180062.0,4,classical,0.00128956,0.04944
538,,0.405,0.075,2,-21.894,1,0.0449,0.989,0.949,0.105,0.251,67.186,154395.0,4,classical,0.030375,0.10165500000000001
546,,0.417,0.0339,9,-24.882,0,0.0418,0.993,0.922,0.114,0.0725,128.356,254760.0,4,classical,0.0141363,0.030232499999999995
562,,0.422,0.00994,5,-23.797,0,0.0368,0.99,0.917,0.116,0.1,106.581,307560.0,4,classical,0.004194679999999999,0.0422
568,,0.471,0.0352,4,-27.457,0,0.0403,0.982,0.952,0.0871,0.123,114.923,191521.0,4,classical,0.0165792,0.057933
571,,0.435,0.034,5,-30.207,1,0.0465,0.992,0.934,0.0932,0.142,140.199,190291.0,4,classical,0.014790000000000001,0.06176999999999999
572,,0.42,0.00826,5,-30.966,0,0.0432,0.994,0.936,0.111,0.0436,68.03,193157.0,4,classical,0.0034692,0.018312
573,,0.454,0.0253,3,-23.251,1,0.0641,0.991,0.938,0.107,0.246,140.14,140288.0,4,classical,0.0114862,0.111684
574,,0.427,0.0256,7,-26.416,0,0.0571,0.991,0.921,0.101,0.154,130.661,120107.0,3,classical,0.0109312,0.065758
576,,0.437,0.0247,11,-32.052,0,0.0373,0.995,0.956,0.093,0.507,86.807,179483.0,4,classical,0.0107939,0.221559
580,,0.46,0.1,10,-24.672,1,0.0505,0.986,0.441,0.0535,0.487,125.812,206370.0,4,classical,0.046000000000000006,0.22402
583,,0.46,0.142,7,-25.042,0,0.0342,0.958,0.951,0.125,0.304,135.164,182125.0,4,classical,0.06532,0.13984
586,,0.436,0.0179,5,-26.825,1,0.0354,0.996,0.813,0.0744,0.148,132.685,165248.0,3,classical,0.0078043999999999995,0.064528
591,,0.403,0.16,6,-22.779,1,0.0369,0.959,0.941,0.0911,0.16,72.571,204845.0,4,classical,0.06448000000000001,0.06448000000000001
608,,0.486,0.0128,4,-32.354,1,0.05,0.993,0.963,0.101,0.08,65.959,87500.0,3,classical,0.0062208,0.03888
609,,0.431,0.0636,9,-30.527,1,0.0332,0.991,0.948,0.112,0.245,144.566,133609.0,4,classical,0.0274116,0.105595
611,,0.461,0.252,9,-18.372,1,0.0501,0.995,0.908,0.0886,0.343,98.181,128357.0,3,classical,0.11617200000000001,0.158123
612,,0.468,0.0127,7,-36.856,1,0.123,0.994,0.937,0.094,0.356,72.776,205867.0,3,classical,0.0059436,0.166608
624,,0.412,0.0145,8,-30.382,1,0.0481,0.995,0.936,0.0901,0.147,133.196,174383.0,4,classical,0.005974,0.06056399999999999
640,,0.485,0.038,7,-23.126,1,0.0548,0.994,0.887,0.0933,0.134,80.737,261533.0,3,classical,0.01843,0.06499
646,,0.407,0.00453,5,-30.925,1,0.041,0.995,0.935,0.0798,0.0342,104.957,256360.0,4,classical,0.00184371,0.0139194
652,,0.402,0.00517,1,-30.939,1,0.0551,0.995,0.893,0.0641,0.0656,65.18,224333.0,4,classical,0.00207834,0.026371200000000004
658,,0.484,0.0111,0,-36.334,1,0.0384,0.995,0.878,0.0556,0.2,121.708,152933.0,4,classical,0.0053724,0.0968
660,,0.458,0.0108,2,-29.707,1,0.0535,0.996,0.938,0.0724,0.135,115.141,328800.0,4,classical,0.0049464,0.06183000000000001
671,,0.488,0.0302,3,-34.981,1,0.0691,0.996,0.912,0.0934,0.147,74.322,138880.0,4,classical,0.0147376,0.071736
684,,0.416,0.00661,9,-32.409,0,0.042,0.993,0.922,0.0626,0.198,129.077,177227.0,3,classical,0.00274976,0.082368
686,,0.494,0.016,10,-32.307,1,0.0426,0.995,0.922,0.136,0.118,98.224,295840.0,4,classical,0.007904,0.058292
697,,0.458,0.0183,4,-29.244,1,0.0453,0.989,0.879,0.074,0.219,117.004,147587.0,4,classical,0.0083814,0.100302
711,,0.457,0.216,0,-20.563,1,0.0337,0.948,0.785,0.0958,0.519,100.608,232627.0,3,classical,0.09871200000000001,0.237183
720,,0.443,0.0521,10,-22.964,1,0.0492,0.992,0.963,0.109,0.187,106.759,123850.0,4,classical,0.0230803,0.082841
722,,0.429,0.0472,11,-27.076,1,0.087,0.995,0.945,0.0996,0.156,73.629,171664.0,3,classical,0.0202488,0.066924
725,,0.406,0.00921,2,-31.822,1,0.087,0.984,0.906,0.0953,0.303,80.507,215800.0,4,classical,0.00373926,0.123018
736,,0.435,0.00889,7,-33.986,1,0.046,0.992,0.941,0.121,0.29,110.307,116960.0,3,classical,0.00386715,0.12614999999999998
739,,0.406,0.00645,7,-32.739,0,0.0453,0.994,0.935,0.0895,0.111,59.156,230893.0,4,classical,0.0026187000000000003,0.045066
752,,0.438,0.0156,3,-29.108,1,0.0621,0.996,0.963,0.098,0.288,66.389,99960.0,4,classical,0.0068328,0.12614399999999998
773,,0.495,0.0566,2,-23.135,1,0.0474,0.995,0.944,0.11,0.146,105.228,246680.0,4,classical,0.028017,0.07227
778,,0.49,0.0211,4,-27.365,1,0.0586,0.991,0.923,0.1,0.468,65.339,123427.0,3,classical,0.010339000000000001,0.22932
782,,0.47,0.00885,3,-28.801,1,0.0641,0.995,0.918,0.119,0.406,80.708,83333.0,1,classical,0.0041595,0.19082
787,,0.438,0.0127,5,-36.218,1,0.0725,0.983,0.936,0.0809,0.173,133.299,185947.0,4,classical,0.0055626,0.075774
801,,0.434,0.0819,4,-22.736,1,0.0433,0.994,0.914,0.0939,0.0537,111.09,302893.0,3,classical,0.0355446,0.023305799999999998
805,,0.435,0.279,4,-14.832,0,0.058,0.982,0.923,0.0904,0.134,126.545,292640.0,3,classical,0.12136500000000001,0.05829
818,,0.414,0.0385,3,-23.551,1,0.0461,0.99,0.935,0.108,0.202,80.698,184510.0,4,classical,0.015939,0.08362800000000001
821,,0.457,0.202,9,-19.049,0,0.0416,0.991,0.878,0.143,0.332,89.904,320027.0,4,classical,0.09231400000000001,0.15172400000000003
822,,0.478,0.0311,9,-24.786,0,0.0636,0.991,0.924,0.0993,0.254,102.42,259333.0,4,classical,0.014865799999999998,0.12141199999999999
824,,0.436,0.0493,0,-26.583,1,0.0484,0.986,0.909,0.136,0.233,108.507,309587.0,3,classical,0.021494799999999998,0.10158800000000001
862,,0.475,0.00751,5,-29.303,1,0.0568,0.996,0.91,0.0651,0.135,100.729,379680.0,4,classical,0.00356725,0.064125
897,,0.472,0.0274,7,-25.915,0,0.0467,0.992,0.931,0.161,0.371,71.658,137000.0,3,classical,0.0129328,0.175112
910,,0.429,0.065,4,-27.347,0,0.0525,0.967,0.924,0.103,0.671,149.386,341333.0,3,classical,0.027885,0.28785900000000003
921,,0.449,0.0933,0,-21.742,0,0.0528,0.995,0.925,0.0936,0.125,91.026,547830.0,4,classical,0.0418917,0.056125
931,,0.452,0.0186,2,-28.385,0,0.041,0.994,0.908,0.118,0.0782,69.926,150453.0,4,classical,0.0084072,0.03534640000000001
937,,0.415,0.00996,7,-30.74,1,0.0725,0.993,0.886,0.106,0.256,172.05,269893.0,1,classical,0.0041334,0.10624
941,,0.477,0.0581,11,-21.258,0,0.0788,0.986,0.914,0.106,0.321,67.752,186000.0,4,classical,0.027713699999999997,0.153117
953,,0.409,0.0178,4,-31.864,1,0.0458,0.994,0.88,0.078,0.161,117.639,208664.0,4,classical,0.0072802,0.06584899999999999
955,,0.417,0.167,5,-20.207,1,0.0502,0.996,0.957,0.0971,0.429,71.525,187949.0,4,classical,0.069639,0.178893
958,,0.411,0.0189,2,-27.992,0,0.0345,0.976,0.917,0.0986,0.173,108.625,246027.0,3,classical,0.0077678999999999995,0.07110299999999999
961,,0.455,0.0447,7,-27.079,1,0.0529,0.99,0.946,0.109,0.229,125.084,227750.0,5,classical,0.0203385,0.10419500000000001
962,,0.449,0.0458,4,-28.797,1,0.0411,0.995,0.909,0.0762,0.215,111.617,188233.0,4,classical,0.0205642,0.096535
964,,0.447,0.0222,4,-30.609,1,0.0573,0.996,0.952,0.0839,0.33,63.894,181656.0,4,classical,0.0099234,0.14751
965,,0.423,0.0379,6,-26.551,1,0.066,0.994,0.931,0.0935,0.0695,121.328,142000.0,4,classical,0.0160317,0.0293985
966,,0.425,0.00825,0,-26.711,1,0.0817,0.995,0.96,0.113,0.103,64.142,182625.0,4,classical,0.0035062500000000003,0.043774999999999994
967,,0.436,0.129,0,-17.985,0,0.0582,0.977,0.943,0.102,0.0964,137.126,173667.0,4,classical,0.056244,0.0420304
968,,0.48,0.0824,0,-29.646,0,0.0408,0.978,0.936,0.108,0.304,111.482,154857.0,4,classical,0.039552,0.14592
969,,0.451,0.048,6,-21.287,1,0.0504,0.991,0.951,0.107,0.341,91.345,252875.0,4,classical,0.021648,0.153791
974,,0.433,0.0628,5,-25.318,0,0.0469,0.978,0.932,0.11,0.114,73.013,221000.0,4,classical,0.0271924,0.049362
975,,0.463,0.0151,3,-28.252,1,0.0463,0.994,0.937,0.12,0.266,100.545,190479.0,4,classical,0.006991300000000001,0.12315800000000002
980,,0.428,0.0212,8,-28.38,1,0.0469,0.986,0.941,0.119,0.171,75.54,237500.0,4,classical,0.0090736,0.073188
981,,0.432,0.0429,5,-22.662,1,0.039,0.985,0.876,0.0998,0.252,100.139,179602.0,4,classical,0.0185328,0.108864
