,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
214,spotify:track:6ebxt3Iylxe0GcEuUGlIvb,0.441,0.684,9,-7.495,0,0.031,0.374,0.000848,0.108,0.971,199.001,141000,4,Alternative
215,spotify:track:6BqWhxll86CGGE6WxgdRqG,0.463,0.836,2,-2.776,0,0.0381,0.000418,7.38e-06,0.25,0.713,141.955,165120,4,Alternative
231,spotify:track:6WrnSlcN0dzTO80mVVbBto,0.412,0.944,0,-2.896,1,0.0448,0.0724,0.000493,0.801,0.79,123.091,215000,4,Alternative
233,spotify:track:0xOeB16JDbBJBJKSdHbElT,0.401,0.933,8,-5.682,1,0.0344,0.00744,0.627,0.318,0.734,127.193,310893,4,Alternative
241,spotify:track:2fAIfPLrPUTW1AmJRR428Q,0.451,0.939,5,-2.82,0,0.0512,0.00673,4.85e-06,0.0774,0.448,93.416,204200,4,Alternative
243,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,274707,4,Alternative
248,spotify:track:1v2zyAJrChw5JnfafSkwkJ,0.452,0.909,9,-3.977,1,0.0366,0.0313,0.0603,0.23,0.805,124.623,225787,4,Alternative
249,spotify:track:6GtX0jaNL8IjVQfrDBx81z,0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,258467,4,Alternative
251,spotify:track:1A5V1sxyCLpKJezp75tUXn,0.478,0.854,7,-5.454,1,0.0289,0.0204,1.21e-06,0.115,0.274,91.854,274160,4,Alternative
259,spotify:track:30HCB1FoE77IfGRyNv4eFq,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,255080,4,Alternative
260,spotify:track:2V4Bc2I962j7acQj1N0PiQ,0.438,0.905,9,-6.161,1,0.0419,9.44e-06,5.4e-05,0.363,0.723,134.163,162667,4,Alternative
261,spotify:track:2CdS3DRqWR5LAhy4hM5X9W,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.998,156667,4,Alternative
265,spotify:track:2Srd8Jgif3kc6ou6Z4pSYJ,0.478,0.923,10,-7.547,1,0.0569,2.7e-05,0.719,0.325,0.165,133.135,213800,4,Alternative
268,spotify:track:37pKTyMwalomKCZjxTc2QZ,0.49,0.652,2,-5.813,1,0.0274,0.00196,6.24e-05,0.0991,0.339,90.085,192467,4,Alternative
275,spotify:track:407ltk0BtcZI8kgu0HH4Yj,0.484,0.0874,0,-17.796,1,0.0394,0.894,0.154,0.11,0.219,94.163,256120,4,Alternative
279,spotify:track:1Hnv9uDIokwi4nkcVUyS0X,0.494,0.936,4,-7.195,0,0.0401,0.0112,0.000693,0.276,0.835,107.393,224480,4,Alternative
280,spotify:track:15kLz0zNFdtsaJdXKSGmTU,0.442,0.52,0,-8.648,1,0.0261,0.184,0.0,0.154,0.177,77.437,304880,4,Alternative
292,spotify:track:0fsz7tJ7UKXT9hliLfO7aE,0.456,0.752,11,-8.121,0,0.09,0.0095,0.00145,0.0573,0.897,183.569,179600,4,Alternative
298,spotify:track:6INLpBxo9F5QMer04VXEnd,0.437,0.652,0,-6.152,1,0.0288,0.0011,0.614,0.111,0.211,111.888,298467,4,Alternative
