,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
122,spotify:track:52Ee1NSe8oaum15FN1CyH7,0.465,0.93,2,-2.804,0,0.0527,3.43e-05,0.0311,0.147,0.263,118.998,290356,4,Rock
125,spotify:track:0zfjIcTc40MVFSGmGjHI9V,0.408,0.967,2,-3.714,1,0.199,4.76e-05,0.000278,0.347,0.467,169.986,205571,4,Rock
126,spotify:track:0Lh0BSj5q1vsUgY2OmvOA5,0.423,0.692,5,-4.861,0,0.0447,0.000986,0.0,0.124,0.522,199.938,148791,4,Rock
129,spotify:track:5uNazTJV7Rpd8zAtWDiSiG,0.427,0.93,1,-5.988,1,0.0745,1.12e-05,3.22e-05,0.439,0.345,140.934,258788,4,Rock
131,spotify:track:29ffs4yVqnGEzwCazHzJrd,0.498,0.863,2,-4.231,1,0.0367,0.000383,5.37e-06,0.291,0.4,95.967,173145,4,Rock
134,spotify:track:3K9H99Lav7SS6JYXP8gPZQ,0.423,0.921,1,-3.128,1,0.0672,0.00722,9.43e-06,0.0678,0.439,175.964,214712,3,Rock
135,spotify:track:2ah5gOCogw00A62XBoepmc,0.463,0.917,7,-3.776,1,0.13,0.000266,1.8e-05,0.0872,0.369,160.028,243978,4,Rock
136,spotify:track:7MtcgU2tdfXxVfzDZt08c9,0.465,0.938,0,-3.687,1,0.0631,0.039,0.0,0.372,0.23,91.551,218511,4,Rock
139,spotify:track:37zzrS1uyujQLQ5ZckQimK,0.435,0.912,2,-2.803,1,0.0396,0.000123,0.0129,0.379,0.699,150.001,123206,4,Rock
141,spotify:track:5MEDzX4SegWLP5ip2jR73r,0.408,0.627,3,-6.038,1,0.0391,0.00101,0.652,0.124,0.198,130.01,269579,4,Rock
143,spotify:track:221dIk4DHWGGLNzlQmmOwG,0.471,0.953,9,-4.555,1,0.0505,0.274,0.0,0.212,0.733,141.436,181240,4,Rock
145,spotify:track:4hmTzkEtFi3ZH58lKJeW1G,0.492,0.935,2,-3.124,1,0.108,0.0181,0.000136,0.286,0.58,90.005,170212,4,Rock
146,spotify:track:0MZBimVC8wLPHkrID6wzp4,0.444,0.635,0,-4.829,1,0.0381,0.104,0.00335,0.0734,0.179,164.963,241636,4,Rock
153,spotify:track:1OyPzvcWssAzk4fX3egtna,0.495,0.902,7,-5.47,1,0.0281,0.00264,0.00106,0.0807,0.377,90.012,197333,4,Rock
156,spotify:track:1L2AtASJngCKtTgYE91N0G,0.458,0.852,0,-7.871,1,0.0451,0.00214,9.66e-06,0.168,0.694,138.029,221293,4,Rock
159,spotify:track:0RbPIVO6AL8pkuMtKCg2w6,0.41,0.96,2,-6.122,1,0.109,2.22e-05,0.0,0.166,0.539,74.997,220309,4,Rock
162,spotify:track:6TtGLI1pFTSzkYzYfd2oQQ,0.498,0.668,2,-6.23,1,0.0318,0.000891,0.00841,0.386,0.497,82.017,260488,4,Rock
164,spotify:track:4OUZX15W3IEdabaQXkfhcW,0.484,0.873,8,-5.052,1,0.0494,5.19e-05,3.14e-05,0.15,0.673,94.956,123538,4,Rock
170,spotify:track:1Y7CkttJcXm6vSUTQbkPSe,0.472,0.916,0,-6.513,1,0.0298,0.019,0.000178,0.132,0.867,144.953,188016,4,Rock
172,spotify:track:0caRIqeGpnO62H1lYJKILz,0.449,0.921,11,-6.179,0,0.0514,0.00336,0.597,0.129,0.516,109.996,218000,4,Rock
178,spotify:track:0qb7doEOydzmLRTYWLRj1x,0.498,0.857,3,-4.31,1,0.0485,0.00471,0.0,0.149,0.501,165.0,237416,4,Rock
179,spotify:track:6zk5XHx4mEtIuNDNvkT7Re,0.485,0.953,2,-4.287,1,0.0557,0.00187,0.0,0.337,0.575,144.005,235575,4,Rock
182,spotify:track:6iA2jnO8MyT31lDgWg89Jx,0.484,0.939,9,-5.775,1,0.0502,0.00323,0.00347,0.377,0.73,159.977,162396,4,Rock
193,spotify:track:699fWFRaJXJeb0zSI8YdNU,0.475,0.828,9,-4.826,0,0.0341,0.00206,0.00574,0.193,0.26,106.019,241456,4,Rock
194,spotify:track:07xiE6Yt9ST6x5l754a1cN,0.455,0.859,5,-11.093,1,0.0602,6.21e-05,0.589,0.13,0.289,142.001,264051,4,Rock
195,spotify:track:2F4hcOckgAarYlBj6yG0nE,0.414,0.919,1,-5.768,0,0.0629,0.000351,0.0153,0.342,0.202,147.972,226667,4,Rock
197,spotify:track:0O3CQPuwVdMZdVohfNFBNp,0.482,0.954,6,-4.595,0,0.0508,0.0202,0.0,0.253,0.634,170.0,168176,4,Rock
198,spotify:track:5GiAMmiFKP3iLlZ0qirBKf,0.429,0.763,11,-8.559,1,0.0587,0.00104,0.217,0.126,0.465,97.427,173000,4,Rock
206,spotify:track:2EghpxLsFSxiMaIPnDOPqn,0.416,0.917,1,-5.308,1,0.116,0.00269,0.0532,0.0341,0.47,154.876,207659,4,Rock
210,spotify:track:3Cdh98i6BmwuDL31R8wu7Z,0.491,0.75,1,-4.122,1,0.034,0.00022,0.0203,0.191,0.355,127.786,159844,4,Rock
214,spotify:track:3KnU4XGpDjK2EMXEloIKXh,0.456,0.89,4,-2.472,0,0.0634,0.00014,0.0,0.209,0.48,127.066,142893,4,Rock
216,spotify:track:6CCi6b23HctIsVkdoIq7Is,0.448,0.778,11,-3.501,1,0.0673,0.0479,0.045,0.102,0.39,175.608,195666,5,Rock
220,spotify:track:0S7P9yeQyZa5sXLx0PcteN,0.414,0.9,9,-7.094,1,0.0679,0.000145,0.13,0.0892,0.516,143.899,155897,4,Rock
223,spotify:track:5A40rzOHlMBPZ5Typ7kxjb,0.483,0.684,1,-6.338,1,0.0258,0.0135,0.00354,0.15,0.497,167.97,173631,4,Rock
235,spotify:track:670mxMWhey2urx7f1OvXLi,0.496,0.905,3,-4.446,0,0.051,0.00116,0.0,0.296,0.577,141.929,165186,4,Rock
241,spotify:track:4LFBVDJV0xpayUvquQVzhS,0.447,0.966,7,-2.966,1,0.089,0.00349,0.000198,0.312,0.533,178.105,224597,4,Rock
246,spotify:track:2jfk3m8nq5IvB35s2xIs1O,0.445,0.953,5,-2.463,0,0.0704,0.0106,0.0,0.281,0.475,172.063,225280,4,Rock
