,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
57,,0.872,0.723,1,-5.968,1,0.247,0.0293,0,0.327,0.843,93.279,307773,4,hiphop
58,,0.889,0.818,9,-4.639,1,0.253,0.47,0,0.179,0.782,96.063,302760,4,hiphop
59,,0.535,0.505,2,-8.926,0,0.245,0.0393,0,0.0923,0.495,99.935,320267,4,hiphop
60,,0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,252187,4,hiphop
61,,0.849,0.521,11,-12.999,0,0.216,0.304,1.65E-06,0.115,0.763,95.265,248867,4,hiphop
62,,0.6,0.706,10,-7.899,0,0.361,0.209,0,0.125,0.58,173.926,253533,4,hiphop
63,,0.924,0.74,8,-1.299,1,0.0774,0.0827,0,0.163,0.621,133.974,222293,4,hiphop
64,,0.874,0.63,1,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95,281600,4,hiphop
65,,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.10E-06,0.203,0.904,104.536,257400,4,hiphop
66,,0.897,0.611,11,-10.489,1,0.211,0.0291,0.186,0.0894,0.769,102.304,208267,4,hiphop
67,,0.811,0.823,4,-5.921,0,0.0423,0.0553,4.52E-06,0.158,0.827,106.929,218547,4,hiphop
68,,0.607,0.422,10,-13.364,0,0.499,0.209,0,0.0839,0.563,130.47,226987,3,hiphop
69,,0.877,0.534,1,-6.178,1,0.15,0.0339,1.67E-05,0.0441,0.89,108.17,197560,4,hiphop
70,,0.665,0.91,6,-4.682,0,0.223,0.0394,0,0.227,0.887,84.099,293973,4,hiphop
71,,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,280000,4,hiphop
72,,0.724,0.853,11,-3.895,0,0.283,0.0164,0,0.65,0.775,170.51,332733,4,hiphop
73,,0.598,0.732,4,-7.013,1,0.425,0.144,0,0.508,0.595,172.329,262507,4,hiphop
74,,0.813,0.703,11,-5.077,0,0.268,0.125,1.26E-06,0.237,0.241,94.828,224533,4,hiphop
75,,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43E-06,0.0519,0.523,93.908,282373,4,hiphop
76,,0.934,0.735,1,-6.668,1,0.251,0.031,8.60E-06,0.107,0.768,101.368,273107,4,hiphop
77,,0.939,0.675,0,-7.232,1,0.211,0.0915,0,0.0565,0.795,96.918,248573,4,hiphop
78,,0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,251573,4,hiphop
79,,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,283067,4,hiphop
80,,0.734,0.864,2,-6.119,1,0.303,0.022,9.85E-06,0.246,0.47,105.932,231493,4,hiphop
81,,0.696,0.636,10,-6.915,0,0.335,0.158,1.28E-05,0.338,0.358,81.593,309800,4,hiphop
82,,0.833,0.619,7,-5.595,1,0.0538,0.111,2.13E-05,0.159,0.901,109.92,306560,4,hiphop
83,,0.866,0.534,11,-9.201,1,0.229,0.184,0.266,0.0929,0.841,98.243,226133,4,hiphop
84,,0.679,0.509,4,-7.31,1,0.0617,0.0856,0,0.438,0.534,144.29,223547,4,hiphop
85,,0.612,0.659,6,-6.995,0,0.406,0.0137,0,0.417,0.393,99.137,136093,4,hiphop
86,,0.814,0.481,0,-5.183,1,0.245,0.097,3.83E-05,0.0495,0.193,96.252,161400,4,hiphop
87,,0.884,0.679,10,-5.857,0,0.282,0.0957,0.00209,0.0289,0.591,76.993,238467,4,hiphop
88,,0.683,0.74,11,-6.041,0,0.0462,0.00228,0,0.238,0.65,129.515,281773,4,hiphop
89,,0.817,0.552,8,-10.8,0,0.385,0.0318,7.01E-06,0.826,0.808,102.011,291067,4,hiphop
90,,0.672,0.777,9,-4.238,0,0.0956,0.0379,0.00141,0.159,0.238,90.575,305573,4,hiphop
91,,0.749,0.745,2,-10.625,1,0.164,0.000501,0.00403,0.333,0.481,101.972,195107,4,hiphop
92,,0.831,0.682,7,-5.697,1,0.238,0.256,0,0.494,0.6,91.771,319360,4,hiphop
93,,0.804,0.443,6,-10.268,0,0.134,0.0312,0.0225,0.112,0.58,92.035,203027,4,hiphop
94,,0.934,0.459,1,-7.654,1,0.189,0.0516,0,0.222,0.697,103.04,239547,4,hiphop
95,,0.681,0.505,1,-11.709,1,0.138,0.137,0,0.234,0.399,89.953,260067,4,hiphop
96,,0.633,0.764,0,-7.212,1,0.323,0.32,3.40E-06,0.234,0.522,94.971,228173,4,hiphop
97,,0.838,0.72,10,-6.593,0,0.384,0.0312,1.11E-05,0.422,0.845,93.76,242947,4,hiphop
98,,0.826,0.566,10,-10.747,0,0.311,0.199,0,0.356,0.655,99.131,216133,4,hiphop
99,,0.817,0.817,8,-4.911,0,0.135,0.098,1.61E-06,0.0798,0.854,90.194,212760,4,hiphop
100,,0.634,0.845,11,-5.058,0,0.352,0.00602,5.29E-06,0.0598,0.929,94,237027,4,hiphop
101,,0.875,0.745,1,-5.878,1,0.269,0.0227,2.37E-06,0.287,0.749,95.201,217440,4,hiphop
102,,0.792,0.701,6,-7.198,0,0.283,0.105,0,0.761,0.251,103.89,324373,4,hiphop
103,,0.729,0.442,11,-8.106,0,0.285,0.151,0,0.189,0.757,81.029,259307,4,hiphop
104,,0.729,0.581,5,-8.235,0,0.18,0.0777,3.81E-06,0.696,0.508,74.038,314680,4,hiphop
105,,0.704,0.642,1,-10.11,1,0.39,0.00704,1.43E-06,0.161,0.72,92.09,209973,4,hiphop
106,,0.881,0.361,11,-14.728,0,0.237,0.0502,0.00458,0.246,0.799,96.43,216693,4,hiphop
107,,0.875,0.658,0,-3.641,1,0.359,0.275,0,0.122,0.661,92.038,274093,4,hiphop
108,,0.906,0.623,1,-6.711,0,0.303,0.00864,4.19E-06,0.0753,0.715,99.498,194293,4,hiphop
109,,0.754,0.785,10,-8.178,0,0.18,0.0287,0.00144,0.319,0.821,94.123,296267,4,hiphop
110,,0.752,0.364,7,-10.375,1,0.277,0.0177,0.000306,0.278,0.534,89.842,241760,4,hiphop
111,,0.739,0.639,2,-6.959,1,0.358,0.000918,2.74E-05,0.352,0.323,91.121,338187,4,hiphop
112,,0.725,0.68,0,-6.037,1,0.224,0.149,0,0.127,0.695,90.964,268707,4,hiphop
113,,0.677,0.539,7,-14.439,1,0.063,0.0455,1.84E-06,0.845,0.469,95.116,270973,4,hiphop
114,,0.794,0.95,1,-8.78,1,0.294,0.124,7.71E-05,0.133,0.324,94.984,258507,4,hiphop
115,,0.812,0.6,7,-9.414,1,0.254,0.00308,8.38E-06,0.173,0.555,97.338,226440,4,hiphop
116,,0.848,0.838,4,-11.949,0,0.0721,0.0326,4.89E-06,0.124,0.787,97.736,271067,4,hiphop
117,,0.66,0.789,7,-5.143,1,0.364,0.0527,0,0.341,0.513,182.218,199333,4,hiphop
118,,0.808,0.726,10,-8.435,0,0.252,0.0208,0.276,0.129,0.616,96.12,221027,4,hiphop
119,,0.813,0.693,10,-8,0,0.266,0.0343,0,0.121,0.618,103.508,391693,4,hiphop
120,,0.752,0.753,6,-7.721,0,0.357,0.114,0,0.317,0.604,102.549,289867,4,hiphop
121,,0.664,0.916,1,-3.888,1,0.473,0.17,1.67E-05,0.164,0.559,93.134,173159,4,hiphop
122,,0.774,0.48,9,-6.599,0,0.228,0.109,0.000661,0.313,0.332,96.067,229400,4,hiphop
123,,0.835,0.456,6,-10.195,0,0.266,0.38,0.00359,0.16,0.224,101.889,189760,4,hiphop
124,,0.773,0.581,8,-8.466,1,0.432,0.0352,0,0.485,0.711,94.093,203067,4,hiphop
125,,0.836,0.484,2,-7.332,1,0.327,0.0454,0,0.0557,0.839,95.941,222933,4,hiphop
126,,0.761,0.683,2,-10.889,1,0.164,0.141,0,0.342,0.671,101.787,286693,4,hiphop
127,,0.769,0.675,6,-13.326,1,0.0724,0.000722,0.000149,0.0904,0.803,101.884,252240,4,hiphop
128,,0.801,0.55,10,-11.044,0,0.209,0.365,0.0234,0.117,0.609,94.994,293933,4,hiphop
129,,0.725,0.737,4,-7.453,1,0.324,0.000633,0.00417,0.109,0.219,77.162,214067,4,hiphop
130,,0.954,0.516,6,-5.817,1,0.16,0.03,7.54E-06,0.0504,0.624,105.001,139560,4,hiphop
131,,0.686,0.897,11,-7.18,0,0.0386,0.0103,0.103,0.153,0.355,129.975,163139,4,hiphop
132,,0.962,0.619,10,-5.562,0,0.405,0.0354,0,0.083,0.154,127.958,144652,4,hiphop
133,,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86E-06,0.355,0.424,153.15,239360,3,hiphop
134,,0.843,0.669,1,-4.105,0,0.0639,0.0846,1.28E-05,0.105,0.435,136.979,238253,4,hiphop
135,,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42E-06,0.33,0.544,142.024,272113,4,hiphop
136,,0.898,0.676,9,-5.196,1,0.187,0.14,0,0.101,0.742,147.991,172125,4,hiphop
137,,0.526,0.606,5,-5.3,0,0.259,0.152,2.36E-06,0.194,0.492,116.622,182667,4,hiphop
